name,L,Q,D,hist_blocks,hist_bytes,partial_bytes,state_bytes,max_abs_err,max_rel_err
naive-full-recompute,2,8,16,2,49152,24576,4096,0.000000e+00,0.000000e+00
paper-two-phase,2,8,16,2,32768,16384,5952,4.523725e-06,4.523725e-06
software-fusion,2,8,16,2,32768,16384,1408,4.523725e-06,4.523725e-06
naive-full-recompute,2,8,16,4,98304,24576,6144,0.000000e+00,0.000000e+00
paper-two-phase,2,8,16,4,65536,16384,8384,3.233552e-06,3.233552e-06
software-fusion,2,8,16,4,65536,16384,1664,3.233552e-06,3.233552e-06
naive-full-recompute,2,8,32,2,98304,49152,5120,0.000000e+00,0.000000e+00
paper-two-phase,2,8,32,2,65536,32768,11072,3.546942e-06,3.546942e-06
software-fusion,2,8,32,2,65536,32768,2432,3.546942e-06,3.546942e-06
naive-full-recompute,2,8,32,4,196608,49152,7168,0.000000e+00,0.000000e+00
paper-two-phase,2,8,32,4,131072,32768,15552,2.943911e-06,2.943911e-06
software-fusion,2,8,32,4,131072,32768,2688,2.943911e-06,2.943911e-06
naive-full-recompute,4,8,16,2,98304,49152,8192,0.000000e+00,0.000000e+00
paper-two-phase,4,8,16,2,65536,32768,11904,4.523725e-06,4.523725e-06
software-fusion,4,8,16,2,65536,32768,2816,4.523725e-06,4.523725e-06
naive-full-recompute,4,8,16,4,196608,49152,12288,0.000000e+00,0.000000e+00
paper-two-phase,4,8,16,4,131072,32768,16768,3.233552e-06,3.233552e-06
software-fusion,4,8,16,4,131072,32768,3328,3.233552e-06,3.233552e-06
naive-full-recompute,4,8,32,2,196608,98304,10240,0.000000e+00,0.000000e+00
paper-two-phase,4,8,32,2,131072,65536,22144,4.523725e-06,4.523725e-06
software-fusion,4,8,32,2,131072,65536,4864,4.523725e-06,4.523725e-06
naive-full-recompute,4,8,32,4,393216,98304,14336,0.000000e+00,0.000000e+00
paper-two-phase,4,8,32,4,262144,65536,31104,3.233552e-06,3.233552e-06
software-fusion,4,8,32,4,262144,65536,5376,3.233552e-06,3.233552e-06
