run,N,D,case_id,cpu_cycles,engine_cycles,tcdm_accessed,tcdm_congested
1,1,1,0,191,1216,328,1
1,4,8,1,915,1486,495,2
1,8,8,2,1704,1789,682,3
1,8,12,2,2433,2011,834,4
1,4,16,2,1613,1694,636,3
1,8,16,2,3114,2254,977,7
1,8,24,2,4520,2798,1285,13
1,8,32,2,5910,3284,1574,11
1,16,32,2,11744,5502,2850,20
1,16,64,2,23033,9607,5243,41
1,4,8,3,904,1452,498,5
1,4,8,4,930,1417,498,5
2,1,1,0,191,1216,328,1
2,4,8,1,915,1486,495,2
2,8,8,2,1704,1789,682,3
2,8,12,2,2433,2011,834,4
2,4,16,2,1613,1694,636,3
2,8,16,2,3114,2254,977,7
2,8,24,2,4520,2798,1285,13
2,8,32,2,5910,3284,1574,11
2,16,32,2,11744,5502,2850,20
2,16,64,2,23033,9607,5243,41
2,4,8,3,904,1452,498,5
2,4,8,4,930,1417,498,5
3,1,1,0,191,1216,328,1
3,4,8,1,915,1486,495,2
3,8,8,2,1704,1789,682,3
3,8,12,2,2433,2011,834,4
3,4,16,2,1613,1694,636,3
3,8,16,2,3114,2254,977,7
3,8,24,2,4520,2798,1285,13
3,8,32,2,5910,3284,1574,11
3,16,32,2,11744,5502,2850,20
3,16,64,2,23033,9607,5243,41
3,4,8,3,904,1452,498,5
3,4,8,4,930,1417,498,5
